OperatingAirline,avg(PassengerCount),avg(AdjustedPassengerCount)
Icelandair,2799.7,2799.7
Ameriflight,5.0,5.363636363636363
Cathay Pacific,17121.325581395347,17121.325581395347
Aeromexico,5463.822222222222,5463.822222222222
Etihad Airways,6476.088235294118,6476.088235294118
Philippine Airlines,10248.635658914729,10248.635658914729
United Airlines - Pre 07/01/2013,48915.46750232126,49365.51671309192
Turkish Airlines,8162.416666666667,8162.416666666667
Swiss International,6061.640287769784,6061.640287769784
Independence Air,6391.3,6391.3
Miami Air International,107.375,107.375
Air France,11589.077519379845,11589.077519379845
Japan Airlines,6470.332046332046,6471.428571428572
Midwest Airlines,3883.0,3883.0
"Atlas Air, Inc",34.0,35.5
JetBlue Airways,35261.13963963964,35261.13963963964
China Eastern,5498.402777777777,5498.402777777777
Mexicana Airlines,7993.806451612903,7993.806451612903
Air Canada,18251.560109289618,18251.560109289618
Allegiant Air,1516.8125,1516.8125
Northwest Airlines,26109.25,26205.504166666666
Sun Country Airlines,3992.652,3992.652
Evergreen International Airlines,2.0,2.0
Horizon Air,5577.583333333333,5577.583333333333
United Airlines,72732.05829596413,72827.21973094171
World Airways,261.6666666666667,261.6666666666667
Virgin America,74405.35359116022,74405.35359116022
Jet Airways,4280.3125,4280.3125
British Airways,17625.124031007752,17625.124031007752
Swissport USA,258.6,264.8
Servisair,90.05555555555556,90.05555555555556
Hawaiian Airlines,8282.186046511628,8282.186046511628
Virgin Atlantic,9847.10465116279,9847.10465116279
SAS Airlines,5865.847222222223,5865.847222222223
TACA,5066.197674418605,5066.197674418605
KLM Royal Dutch Airlines,9221.813953488372,9221.813953488372
Boeing Company,18.0,18.0
ExpressJet Airlines,5631.84375,5631.84375
Compass Airlines,23358.55681818182,23359.840909090908
Lufthansa German Airlines,19301.96511627907,19301.96511627907
SkyWest Airlines,37083.83904465213,37083.8764278297
Asiana Airlines,5902.961240310077,5902.961240310077
China Airlines,9857.51550387597,9857.51550387597
Frontier Airlines,17787.676923076924,17787.676923076924
American Airlines,127164.38970588235,127164.38970588235
Air China,6618.335907335907,6618.335907335907
Air Berlin,2320.75,2320.75
Delta Air Lines,68498.49740932643,68515.41968911917
Korean Air Lines,5678.461240310077,5678.461240310077
AirTran Airways,10569.238938053097,10569.238938053097
All Nippon Airways,6385.523255813953,6385.523255813953
Singapore Airlines,14746.647286821706,14746.647286821706
China Southern,4321.4375,4321.4375
US Airways,55317.81578947369,55317.81578947369
Air Canada Jazz,294.2142857142857,294.2142857142857
Emirates,9070.866666666667,9070.866666666667
Pacific Aviation,160.0,160.0
Air India Limited,2834.5,2834.5
Atlantic Southeast Airlines,2176.909090909091,2176.909090909091
American Eagle Airlines,4006.5283018867926,4006.5283018867926
Qantas Airways,4991.2164179104475,4991.2164179104475
"COPA Airlines, Inc.",3418.0714285714284,3418.0714285714284
Alaska Airlines,17251.637816245006,17564.67776298269
Xtra Airways,73.0,73.0
Republic Airlines,2452.5,2452.5
Mesaba Airlines,2864.7272727272725,2864.7272727272725
Air New Zealand,7452.339768339768,7452.339768339768
Spirit Airlines,2921.0416666666665,2921.0416666666665
ATA Airlines,8744.636363636364,9661.65909090909
BelAir Airlines,415.3636363636364,428.0
Aer Lingus,4407.183673469388,4407.183673469388
WestJet Airlines,5338.155339805825,5338.155339805825
Mesa Airlines,3710.5811965811968,3710.5811965811968
LAN Peru,2786.011111111111,2786.011111111111
Southwest Airlines,81188.15857605178,81223.3495145631
XL Airways France,2223.1612903225805,2240.1290322580644
EVA Airways,13116.356589147286,13116.356589147286
